営業日,店舗名,台番号,機種名,総回転数,差枚,BB回数,RB回数
2026-09-18,Bホール,207,サンプルAT機,4861,1626,15,12
2026-09-18,Bホール,208,サンプルAタイプ,4814,-19,16,14
2026-09-18,Bホール,209,サンプル天井機,7994,-325,28,18
2026-09-18,Bホール,210,サンプルAT機,5406,713,17,14
2026-09-18,Bホール,211,サンプルAタイプ,3281,-509,12,8
2026-09-18,Bホール,212,サンプル天井機,7566,458,23,16
2026-09-19,Aホール,101,サンプルAT機,5799,-1382,21,17
2026-09-19,Aホール,102,サンプルAタイプ,7763,-1564,33,28
2026-09-19,Aホール,103,サンプル天井機,2757,845,9,6
2026-09-19,Aホール,104,サンプルAT機,5021,-440,20,12
2026-09-19,Aホール,105,サンプルAタイプ,6590,-140,28,18
2026-09-19,Aホール,106,サンプル天井機,4529,-297,17,15
2026-09-19,Aホール,107,サンプルAT機,2227,-1399,10,7
2026-09-19,Aホール,108,サンプルAタイプ,6148,-1236,26,16
2026-09-19,Aホール,109,サンプル天井機,4494,972,15,9
2026-09-19,Aホール,110,サンプルAT機,1730,219,7,5
2026-09-19,Aホール,111,サンプルAタイプ,4637,442,16,11
2026-09-19,Aホール,112,サンプル天井機,2505,-119,8,5
2026-09-19,Bホール,201,サンプルAT機,1875,1084,8,7
2026-09-19,Bホール,202,サンプルAタイプ,1957,1013,7,4
2026-09-19,Bホール,203,サンプル天井機,2703,564,8,5
2026-09-19,Bホール,204,サンプルAT機,6307,-954,27,22
2026-09-19,Bホール,205,サンプルAタイプ,1868,-944,7,5
2026-09-19,Bホール,206,サンプル天井機,6457,133,26,15
2026-09-19,Bホール,207,サンプルAT機,3740,-127,14,7
2026-09-19,Bホール,208,サンプルAタイプ,7729,-1952,31,19
2026-09-19,Bホール,209,サンプル天井機,5916,-1704,19,11
2026-09-19,Bホール,210,サンプルAT機,2291,-1022,7,4
2026-09-19,Bホール,211,サンプルAタイプ,2438,549,10,6
2026-09-19,Bホール,212,サンプル天井機,6710,974,22,15
2026-09-20,Aホール,101,サンプルAT機,3137,27,11,9
2026-09-20,Aホール,102,サンプルAタイプ,4789,-172,19,15
2026-09-20,Aホール,103,サンプル天井機,7141,-778,24,16
2026-09-20,Aホール,104,サンプルAT機,3456,-62,11,7
2026-09-20,Aホール,105,サンプルAタイプ,1801,-20,7,4
2026-09-20,Aホール,106,サンプル天井機,5499,-276,19,16
2026-09-20,Aホール,107,サンプルAT機,2393,8,8,4
2026-09-20,Aホール,108,サンプルAタイプ,5209,-6,22,14
2026-09-20,Aホール,109,サンプル天井機,3470,-336,12,8
2026-09-20,Aホール,110,サンプルAT機,4880,-745,20,14
2026-09-20,Aホール,111,サンプルAタイプ,2247,-894,8,7
2026-09-20,Aホール,112,サンプル天井機,4784,900,21,14
2026-09-20,Bホール,201,サンプルAT機,5172,-956,20,15
2026-09-20,Bホール,202,サンプルAタイプ,5412,-830,19,17
2026-09-20,Bホール,203,サンプル天井機,7013,-1484,24,13
2026-09-20,Bホール,204,サンプルAT機,6254,-434,22,16
2026-09-20,Bホール,205,サンプルAタイプ,2601,-531,9,6
2026-09-20,Bホール,206,サンプル天井機,1755,-973,6,4
2026-09-20,Bホール,207,サンプルAT機,5973,-1053,22,14
2026-09-20,Bホール,208,サンプルAタイプ,4034,-1433,13,10
2026-09-20,Bホール,209,サンプル天井機,3853,472,13,11
2026-09-20,Bホール,210,サンプルAT機,3065,127,11,6
2026-09-20,Bホール,211,サンプルAタイプ,7334,2540,26,22
2026-09-20,Bホール,212,サンプル天井機,3095,-1450,11,10
